1,2,3,4,5,6,7,8,9,10,11,12
0,5,11.667,13.003,13.193,13.206,13.204,13.204,13.204,13.205,13.205,13.205
0,12.5,15.833,16.502,16.596,16.603,16.602,16.602,16.602,16.602,16.602,16.602
0,8.3333,8.6111,8.478,8.4669,8.4819,8.4905,8.4934,8.4941,8.4942,8.4942,8.4942
0,4.1667,4.9306,4.8119,4.6914,4.6466,4.6354,4.6334,4.6332,4.6332,4.6332,4.6332
0,1.6667,2.6389,2.9803,3.0687,3.0861,3.0886,3.0888,3.0888,3.0888,3.0888,3.0888
