1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
0,5,11.417,10.521,13.659,11.859,14.004,12.273,13.964,12.467,13.86,12.596,13.757,12.697,13.668,12.78,13.593,12.849,13.53,12.907,13.477,12.956,13.432,12.996,13.395,13.03,13.364,13.059,13.338,13.082,13.316,13.102,13.298,13.119,13.283,13.133,13.27,13.145,13.26,13.154,13.251,13.163,13.243,13.169,13.237,13.175,13.232,13.18,13.227,13.184,13.224,13.187,13.22,13.19,13.218,13.193,13.216,13.194,13.214,13.196,13.212,13.198,13.211,13.199,13.21,13.2,13.209,13.2,13.208,13.201,13.208,13.202,13.207,13.202,13.207,13.203,13.207,13.203,13.206,13.203,13.206,13.203,13.206,13.204,13.206,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.204,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205,13.205
0,10,12.5,15.708,15.26,16.829,15.93,17.002,16.136,16.982,16.233,16.93,16.298,16.879,16.349,16.834,16.39,16.796,16.425,16.765,16.454,16.738,16.478,16.716,16.498,16.698,16.515,16.682,16.529,16.669,16.541,16.658,16.551,16.649,16.559,16.641,16.566,16.635,16.572,16.63,16.577,16.625,16.581,16.622,16.585,16.618,16.588,16.616,16.59,16.614,16.592,16.612,16.594,16.61,16.595,16.609,16.596,16.608,16.597,16.607,16.598,16.606,16.599,16.606,16.599,16.605,16.6,16.605,16.6,16.604,16.601,16.604,16.601,16.604,16.601,16.603,16.601,16.603,16.601,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.603,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602,16.602
0,6.6667,5.3333,9.0556,6.8833,9.4553,7.3764,9.4062,7.6084,9.2808,7.7635,9.1576,7.8848,9.0506,7.9846,8.9602,8.0677,8.8843,8.1372,8.8208,8.1954,8.7676,8.2441,8.7231,8.2848,8.6858,8.3189,8.6546,8.3475,8.6284,8.3714,8.6066,8.3914,8.5883,8.4082,8.5729,8.4222,8.5601,8.4339,8.5494,8.4437,8.5404,8.452,8.5329,8.4588,8.5266,8.4646,8.5213,8.4694,8.5169,8.4735,8.5132,8.4768,8.5101,8.4797,8.5075,8.482,8.5053,8.484,8.5035,8.4857,8.502,8.4871,8.5007,8.4882,8.4997,8.4892,8.4988,8.49,8.498,8.4907,8.4974,8.4913,8.4969,8.4918,8.4965,8.4922,8.4961,8.4925,8.4958,8.4928,8.4955,8.493,8.4953,8.4932,8.4951,8.4934,8.495,8.4935,8.4949,8.4936,8.4948,8.4937,8.4947,8.4938,8.4946,8.4939,8.4945,8.4939,8.4945,8.494,8.4944,8.494,8.4944,8.494,8.4944,8.4941,8.4943,8.4941,8.4943,8.4941,8.4943,8.4941,8.4943,8.4941,8.4943,8.4941,8.4943,8.4942,8.4943,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942,8.4942
0,5,2.5833,5.6875,3.2747,5.6848,3.5783,5.5534,3.7696,5.4129,3.9148,5.2881,4.0329,5.1819,4.1309,5.0926,4.2128,5.0178,4.2813,4.9551,4.3387,4.9027,4.3866,4.8588,4.4268,4.822,4.4604,4.7913,4.4886,4.7655,4.5121,4.744,4.5319,4.7259,4.5484,4.7108,4.5622,4.6982,4.5738,4.6876,4.5834,4.6787,4.5916,4.6713,4.5983,4.6651,4.604,4.6599,4.6088,4.6556,4.6128,4.6519,4.6161,4.6489,4.6189,4.6463,4.6212,4.6442,4.6232,4.6424,4.6248,4.6409,4.6262,4.6396,4.6273,4.6386,4.6283,4.6377,4.6291,4.637,4.6297,4.6364,4.6303,4.6359,4.6308,4.6354,4.6312,4.6351,4.6315,4.6348,4.6318,4.6345,4.632,4.6343,4.6322,4.6341,4.6324,4.634,4.6325,4.6338,4.6326,4.6337,4.6327,4.6337,4.6328,4.6336,4.6329,4.6335,4.6329,4.6335,4.633,4.6334,4.633,4.6334,4.633,4.6334,4.6331,4.6333,4.6331,4.6333,4.6331,4.6333,4.6331,4.6333,4.6331,4.6333,4.6331,4.6333,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332,4.6332
0,4,1.6667,4.1833,2.0181,4.0452,2.2068,3.8941,2.352,3.7633,2.472,3.6533,2.5724,3.5613,2.6565,3.4843,2.7269,3.4199,2.7859,3.3659,2.8352,3.3208,2.8766,3.283,2.9111,3.2514,2.9401,3.2249,2.9643,3.2027,2.9846,3.1842,3.0016,3.1686,3.0158,3.1556,3.0277,3.1447,3.0376,3.1356,3.046,3.128,3.0529,3.1216,3.0588,3.1163,3.0637,3.1118,3.0678,3.108,3.0712,3.1049,3.0741,3.1023,3.0765,3.1001,3.0785,3.0983,3.0802,3.0967,3.0816,3.0954,3.0827,3.0943,3.0837,3.0934,3.0846,3.0927,3.0853,3.0921,3.0858,3.0915,3.0863,3.0911,3.0867,3.0907,3.0871,3.0904,3.0873,3.0901,3.0876,3.0899,3.0878,3.0897,3.0879,3.0896,3.0881,3.0895,3.0882,3.0894,3.0883,3.0893,3.0884,3.0892,3.0885,3.0891,3.0885,3.0891,3.0886,3.089,3.0886,3.089,3.0886,3.089,3.0887,3.0889,3.0887,3.0889,3.0887,3.0889,3.0887,3.0889,3.0887,3.0889,3.0887,3.0889,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888,3.0888
